OCCP,OCCABB,NOTE,OCCUPATION
10,MGR,"Management, Business, Science, and Arts Occupations",CHIEF EXECUTIVES AND LEGISLATORS
20,MGR,"Management, Business, Science, and Arts Occupations",GENERAL AND OPERATIONS MANAGERS
40,MGR,"Management, Business, Science, and Arts Occupations",ADVERTISING AND PROMOTIONS MANAGERS
50,MGR,"Management, Business, Science, and Arts Occupations",MARKETING AND SALES MANAGERS
60,MGR,"Management, Business, Science, and Arts Occupations",PUBLIC RELATIONS AND FUNDRAISING MANAGERS
100,MGR,"Management, Business, Science, and Arts Occupations",ADMINISTRATIVE SERVICES MANAGERS
110,MGR,"Management, Business, Science, and Arts Occupations",COMPUTER AND INFORMATION SYSTEMS MANAGERS
120,MGR,"Management, Business, Science, and Arts Occupations",FINANCIAL MANAGERS
135,MGR,"Management, Business, Science, and Arts Occupations",COMPENSATION AND BENEFITS MANAGERS
136,MGR,"Management, Business, Science, and Arts Occupations",HUMAN RESOURCES MANAGERS
137,MGR,"Management, Business, Science, and Arts Occupations",TRAINING AND DEVELOPMENT MANAGERS
140,MGR,"Management, Business, Science, and Arts Occupations",INDUSTRIAL PRODUCTION MANAGERS
150,MGR,"Management, Business, Science, and Arts Occupations",PURCHASING MANAGERS
160,MGR,"Management, Business, Science, and Arts Occupations","TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS"
205,MGR,"Management, Business, Science, and Arts Occupations","FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS"
220,MGR,"Management, Business, Science, and Arts Occupations",CONSTRUCTION MANAGERS
230,MGR,"Management, Business, Science, and Arts Occupations",EDUCATION ADMINISTRATORS
300,MGR,"Management, Business, Science, and Arts Occupations",ARCHITECTURAL AND ENGINEERING MANAGERS
310,MGR,"Management, Business, Science, and Arts Occupations",FOOD SERVICE MANAGERS
330,MGR,"Management, Business, Science, and Arts Occupations",GAMING MANAGERS
340,MGR,"Management, Business, Science, and Arts Occupations",LODGING MANAGERS
350,MGR,"Management, Business, Science, and Arts Occupations",MEDICAL AND HEALTH SERVICES MANAGERS
360,MGR,"Management, Business, Science, and Arts Occupations",NATURAL SCIENCES MANAGERS
410,MGR,"Management, Business, Science, and Arts Occupations","PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION"
420,MGR,"Management, Business, Science, and Arts Occupations",SOCIAL AND COMMUNITY SERVICE MANAGERS
425,MGR,"Management, Business, Science, and Arts Occupations",EMERGENCY MANAGEMENT DIRECTORS
430,MGR,"Management, Business, Science, and Arts Occupations","MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE .MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS"
500,BUS,Business Operations Specialists,"AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS,"
510,BUS,Business Operations Specialists,"BUYERS AND PURCHASING AGENTS, FARM PRODUCTS"
520,BUS,Business Operations Specialists,"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS"
530,BUS,Business Operations Specialists,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS"
540,BUS,Business Operations Specialists,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS"
565,BUS,Business Operations Specialists,COMPLIANCE OFFICERS
600,BUS,Business Operations Specialists,COST ESTIMATORS
630,BUS,Business Operations Specialists,HUMAN RESOURCES WORKERS
640,BUS,Business Operations Specialists,"COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS"
650,BUS,Business Operations Specialists,TRAINING AND DEVELOPMENT SPECIALISTS
700,BUS,Business Operations Specialists,LOGISTICIANS
710,BUS,Business Operations Specialists,MANAGEMENT ANALYSTS
725,BUS,Business Operations Specialists,"MEETING, CONVENTION, AND EVENT PLANNERS"
726,BUS,Business Operations Specialists,FUNDRAISERS
735,BUS,Business Operations Specialists,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS
740,BUS,Business Operations Specialists,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
800,FIN,Finanacial Specialists,ACCOUNTANTS AND AUDITORS
810,FIN,Finanacial Specialists,APPRAISERS AND ASSESSORS OF REAL ESTATE
820,FIN,Finanacial Specialists,BUDGET ANALYSTS
830,FIN,Finanacial Specialists,CREDIT ANALYSTS
840,FIN,Finanacial Specialists,FINANCIAL ANALYSTS
850,FIN,Finanacial Specialists,PERSONAL FINANCIAL ADVISORS
860,FIN,Finanacial Specialists,INSURANCE UNDERWRITERS
900,FIN,Finanacial Specialists,FINANCIAL EXAMINERS
910,FIN,Finanacial Specialists,CREDIT COUNSELORS AND LOAN OFFICERS
930,FIN,Finanacial Specialists,"TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS"
940,FIN,Finanacial Specialists,TAX PREPARERS
950,FIN,Finanacial Specialists,"FINANCIAL SPECIALISTS, ALL OTHER"
1005,CMM,Computer and Mathematical Occupations,COMPUTER AND INFORMATION RESEARCH SCIENTISTS
1006,CMM,Computer and Mathematical Occupations,COMPUTER SYSTEMS ANALYSTS
1007,CMM,Computer and Mathematical Occupations,INFORMATION SECURITY ANALYSTS
1010,CMM,Computer and Mathematical Occupations,COMPUTER PROGRAMMERS
1020,CMM,Computer and Mathematical Occupations,"SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE"
1030,CMM,Computer and Mathematical Occupations,WEB DEVELOPERS
1050,CMM,Computer and Mathematical Occupations,COMPUTER SUPPORT SPECIALISTS
1060,CMM,Computer and Mathematical Occupations,DATABASE ADMINISTRATORS
1105,CMM,Computer and Mathematical Occupations,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS
1106,CMM,Computer and Mathematical Occupations,COMPUTER NETWORK ARCHITECTS
1107,CMM,Computer and Mathematical Occupations,"COMPUTER OCCUPATIONS, ALL OTHER"
1200,CMM,Computer and Mathematical Occupations,ACTUARIES
1220,CMM,Computer and Mathematical Occupations,OPERATIONS RESEARCH ANALYSTS
1240,CMM,Computer and Mathematical Occupations,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS"
1300,ENG,Architecture and Engineering Occupations,"ARCHITECTS, EXCEPT NAVAL"
1310,ENG,Architecture and Engineering Occupations,"SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS"
1320,ENG,Architecture and Engineering Occupations,AEROSPACE ENGINEERS
1340,ENG,Architecture and Engineering Occupations,BIOMEDICAL AND AGRICULTURAL ENGINEERS
1350,ENG,Architecture and Engineering Occupations,CHEMICAL ENGINEERS
1360,ENG,Architecture and Engineering Occupations,CIVIL ENGINEERS
1400,ENG,Architecture and Engineering Occupations,COMPUTER HARDWARE ENGINEERS
1410,ENG,Architecture and Engineering Occupations,ELECTRICAL AND ELECTRONICS ENGINEERS
1420,ENG,Architecture and Engineering Occupations,ENVIRONMENTAL ENGINEERS
1430,ENG,Architecture and Engineering Occupations,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY"
1440,ENG,Architecture and Engineering Occupations,MARINE ENGINEERS AND NAVAL ARCHITECTS
1450,ENG,Architecture and Engineering Occupations,MATERIALS ENGINEERS
1460,ENG,Architecture and Engineering Occupations,MECHANICAL ENGINEERS
1520,ENG,Architecture and Engineering Occupations,"PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS"
1530,ENG,Architecture and Engineering Occupations,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS"
1540,ENG,Architecture and Engineering Occupations,DRAFTERS
1550,ENG,Architecture and Engineering Occupations,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS"
1560,ENG,Architecture and Engineering Occupations,SURVEYING AND MAPPING TECHNICIANS
1600,SCI,"Life, Physical,and Social Science Occupations",AGRICULTURAL AND FOOD SCIENTISTS
1610,SCI,"Life, Physical,and Social Science Occupations",BIOLOGICAL SCIENTISTS
1640,SCI,"Life, Physical,and Social Science Occupations",CONSERVATION SCIENTISTS AND FORESTERS
1650,SCI,"Life, Physical,and Social Science Occupations","MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER"
1700,SCI,"Life, Physical,and Social Science Occupations",ASTRONOMERS AND PHYSICISTS
1710,SCI,"Life, Physical,and Social Science Occupations",ATMOSPHERIC AND SPACE SCIENTISTS
1720,SCI,"Life, Physical,and Social Science Occupations",CHEMISTS AND MATERIALS SCIENTISTS
1740,SCI,"Life, Physical,and Social Science Occupations",ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS
1760,SCI,"Life, Physical,and Social Science Occupations","PHYSICAL SCIENTISTS, ALL OTHER"
1800,SCI,"Life, Physical,and Social Science Occupations",ECONOMISTS
1820,SCI,"Life, Physical,and Social Science Occupations",PSYCHOLOGISTS
1840,SCI,"Life, Physical,and Social Science Occupations",URBAN AND REGIONAL PLANNERS
1860,SCI,"Life, Physical,and Social Science Occupations","MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS"
1900,SCI,"Life, Physical,and Social Science Occupations",AGRICULTURAL AND FOOD SCIENCE TECHNICIANS
1910,SCI,"Life, Physical,and Social Science Occupations",BIOLOGICAL TECHNICIANS
1920,SCI,"Life, Physical,and Social Science Occupations",CHEMICAL TECHNICIANS
1930,SCI,"Life, Physical,and Social Science Occupations","GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS"
1965,SCI,"Life, Physical,and Social Science Occupations","MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS"
2000,CMS,Community and Social Service Occupations,COUNSELORS
2010,CMS,Community and Social Service Occupations,SOCIAL WORKERS
2015,CMS,Community and Social Service Occupations,PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS
2016,CMS,Community and Social Service Occupations,SOCIAL AND HUMAN SERVICE ASSISTANTS
2025,CMS,Community and Social Service Occupations,"MISCELLANEOUS COMMUNITY AND SOCIAL SERVICE .SPECIALISTS,INCLUDING HEALTH EDUCATORS AND COMMUNITY .HEALTH WORKERS"
2040,CMS,Community and Social Service Occupations,CLERGY
2050,CMS,Community and Social Service Occupations,"DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION"
2060,CMS,Community and Social Service Occupations,"RELIGIOUS WORKERS, ALL OTHER"
2100,LGL,Legal Occupations,"LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL WORKERS"
2105,LGL,Legal Occupations,JUDICIAL LAW CLERKS
2145,LGL,Legal Occupations,PARALEGALS AND LEGAL ASSISTANTS
2160,LGL,Legal Occupations,MISCELLANEOUS LEGAL SUPPORT WORKERS
2200,EDU,"Education, Training, and library Occupations",POSTSECONDARY TEACHERS
2300,EDU,"Education, Training, and library Occupations",PRESCHOOL AND KINDERGARTEN TEACHERS
2310,EDU,"Education, Training, and library Occupations",ELEMENTARY AND MIDDLE SCHOOL TEACHERS
2320,EDU,"Education, Training, and library Occupations",SECONDARY SCHOOL TEACHERS
2330,EDU,"Education, Training, and library Occupations",SPECIAL EDUCATION TEACHERS
2340,EDU,"Education, Training, and library Occupations",OTHER TEACHERS AND INSTRUCTORS
2400,EDU,"Education, Training, and library Occupations","ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS"
2430,EDU,"Education, Training, and library Occupations",LIBRARIANS
2440,EDU,"Education, Training, and library Occupations",LIBRARY TECHNICIANS
2540,EDU,"Education, Training, and library Occupations",TEACHER ASSISTANTS
2550,EDU,"Education, Training, and library Occupations","OTHER EDUCATION, TRAINING, AND LIBRARY WORKERS"
2600,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",ARTISTS AND RELATED WORKERS
2630,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",DESIGNERS
2700,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",ACTORS
2710,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",PRODUCERS AND DIRECTORS
2720,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations","ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS"
2740,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",DANCERS AND CHOREOGRAPHERS
2750,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations","MUSICIANS, SINGERS, AND RELATED WORKERS"
2760,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations","ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED WORKERS, ALL OTHER"
2800,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",ANNOUNCERS
2810,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations","NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS"
2825,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",PUBLIC RELATIONS SPECIALISTS
2830,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",EDITORS
2840,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",TECHNICAL WRITERS
2850,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",WRITERS AND AUTHORS
2860,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",MISCELLANEOUS MEDIA AND COMMUNICATION WORKERS
2900,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations","BROADCAST AND SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER"
2910,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations",PHOTOGRAPHERS
2920,ENT,"Arts, Design, Entertainment, Sports, and Media Occupations","TELEVISION, VIDEO, AND MOTION PICTURE CAMERA OPERATORS AND EDITORS"
3000,MED,Healthcare Practitioners and Technical Occupations,CHIROPRACTORS
3010,MED,Healthcare Practitioners and Technical Occupations,DENTISTS
3030,MED,Healthcare Practitioners and Technical Occupations,DIETITIANS AND NUTRITIONISTS
3040,MED,Healthcare Practitioners and Technical Occupations,OPTOMETRISTS
3050,MED,Healthcare Practitioners and Technical Occupations,PHARMACISTS
3060,MED,Healthcare Practitioners and Technical Occupations,PHYSICIANS AND SURGEONS
3110,MED,Healthcare Practitioners and Technical Occupations,PHYSICIAN ASSISTANTS
3120,MED,Healthcare Practitioners and Technical Occupations,PODIATRISTS
3140,MED,Healthcare Practitioners and Technical Occupations,AUDIOLOGISTS
3150,MED,Healthcare Practitioners and Technical Occupations,OCCUPATIONAL THERAPISTS
3160,MED,Healthcare Practitioners and Technical Occupations,PHYSICAL THERAPISTS
3200,MED,Healthcare Practitioners and Technical Occupations,RADIATION THERAPISTS
3210,MED,Healthcare Practitioners and Technical Occupations,RECREATIONAL THERAPISTS
3220,MED,Healthcare Practitioners and Technical Occupations,RESPIRATORY THERAPISTS
3230,MED,Healthcare Practitioners and Technical Occupations,SPEECH
3245,MED,Healthcare Practitioners and Technical Occupations,"OTHER THERAPISTS, INCLUDING EXERCISE PHYSIOLOGISTS"
3250,MED,Healthcare Practitioners and Technical Occupations,VETERINARIANS
3255,MED,Healthcare Practitioners and Technical Occupations,REGISTERED NURSES
3256,MED,Healthcare Practitioners and Technical Occupations,NURSE ANESTHETISTS
3258,MED,Healthcare Practitioners and Technical Occupations,"NURSE PRACTITIONERS, AND NURSE MIDWIVES"
3260,MED,Healthcare Practitioners and Technical Occupations,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL .OTHER"
3300,MED,Healthcare Practitioners and Technical Occupations,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS
3310,MED,Healthcare Practitioners and Technical Occupations,DENTAL HYGIENISTS
3320,MED,Healthcare Practitioners and Technical Occupations,DIAGNOSTIC RELATED TECHNOLOGISTS AND TECHNICIANS
3400,MED,Healthcare Practitioners and Technical Occupations,EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS
3420,MED,Healthcare Practitioners and Technical Occupations,HEALTH PRACTITIONER SUPPORT TECHNOLOGISTS AND TECHNICIANS
3500,MED,Healthcare Practitioners and Technical Occupations,LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES
3510,MED,Healthcare Practitioners and Technical Occupations,MEDICAL RECORDS AND HEALTH INFORMATION TECHNICIANS
3520,MED,Healthcare Practitioners and Technical Occupations,"OPTICIANS, DISPENSING"
3535,MED,Healthcare Practitioners and Technical Occupations,MISCELLANEOUS HEALTH TECHNOLOGISTS AND TECHNICIANS
3540,MED,Healthcare Practitioners and Technical Occupations,OTHER HEALTHCARE PRACTITIONERS AND TECHNICAL OCCUPATIONS
3600,HLS,Healthcare Support Occupations,"NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES"
3610,HLS,Healthcare Support Occupations,OCCUPATIONAL THERAPY ASSISTANTS AND AIDES
3620,HLS,Healthcare Support Occupations,PHYSICAL THERAPIST ASSISTANTS AND AIDES
3630,HLS,Healthcare Support Occupations,MASSAGE THERAPISTS
3640,HLS,Healthcare Support Occupations,DENTAL ASSISTANTS
3645,HLS,Healthcare Support Occupations,MEDICAL ASSISTANTS
3646,HLS,Healthcare Support Occupations,MEDICAL TRANSCRIPTIONISTS
3647,HLS,Healthcare Support Occupations,PHARMACY AIDES
3648,HLS,Healthcare Support Occupations,VETERINARY ASSISTANTS AND LABORATORY ANIMAL CARETAKERS
3649,HLS,Healthcare Support Occupations,PHLEBOTOMISTS
3655,HLS,Healthcare Support Occupations,"HEALTHCARE SUPPORT WORKERS, ALL OTHER, INCLUDING MEDICAL EQUIPMENT PREPARERS"
3700,PRT,Protective Service Occupations,FIRST LINE SUPERVISORS OF CORRECTIONAL OFFICERS  
3710,PRT,Protective Service Occupations,FIRST LINE SUPERVISORS OF POLICE AND DETECTIVES
3720,PRT,Protective Service Occupations,FIRST LINE SUPERVISORS OF FIRE FIGHTING AND PREVENTION WORKERS
3730,PRT,Protective Service Occupations,"FIRST LINE SUPERVISORS OF PROTECTIVE SERVICE WORKERS, ALL OTHER"
3740,PRT,Protective Service Occupations,FIREFIGHTERS
3750,PRT,Protective Service Occupations,FIRE INSPECTORS
3800,PRT,Protective Service Occupations,"BAILIFFS, CORRECTIONAL OFFICERS, AND JAILERS"
3820,PRT,Protective Service Occupations,DETECTIVES AND CRIMINAL INVESTIGATORS
3840,PRT,Protective Service Occupations,MISCELLANEOUS LAW ENFORCEMENT WORKERS
3850,PRT,Protective Service Occupations,POLICE OFFICERS
3900,PRT,Protective Service Occupations,ANIMAL CONTROL WORKERS
3910,PRT,Protective Service Occupations,PRIVATE DETECTIVES AND INVESTIGATORS
3930,PRT,Protective Service Occupations,SECURITY GUARDS AND GAMING SURVEILLANCE OFFICERS
3940,PRT,Protective Service Occupations,CROSSING GUARDS
3945,PRT,Protective Service Occupations,TRANSPORTATION SECURITY SCREENERS
3955,PRT,Protective Service Occupations,"LIFEGUARDS AND OTHER RECREATIONAL, AND ALL OTHER PROTECTIVE SERVICE WORKERS"
4000,EAT,Food Preparation and Serving Occupations,CHEFS AND HEAD COOKS
4010,EAT,Food Preparation and Serving Occupations,FIRST LINE SUPERVISORS OF FOOD PREPARATION AND SERVING WORKERS
4020,EAT,Food Preparation and Serving Occupations,COOKS
4030,EAT,Food Preparation and Serving Occupations,FOOD PREPARATION WORKERS
4040,EAT,Food Preparation and Serving Occupations,BARTENDERS
