code,name,abbr
1,Alabama,AL
2,Alaska,AK
4,Arizona,AZ
5,Arkansas,AR
6,California,CA
8,Colorado,CO
9,Connecticut,CT
10,Delaware,DE
11,DistrictofColumbia,DC
12,Florida,FL
13,Georgia,GA
15,Hawaii,HI
16,Idaho,ID
17,Illinois,IL
18,Indiana,IN
19,Iowa,IA
20,Kansas,KS
21,Kentucky,KY
22,Louisiana,LA
23,Maine,ME
24,Maryland,MD
25,Massachusetts,MA
26,Michigan,MI
27,Minnesota,MN
28,Mississippi,MS
29,Missouri,MO
30,Montana,MT
31,Nebraska,NE
32,Nevada,NV
33,NewHampshire,NH
34,NewJersey,NJ
35,NewMexico,NM
36,NewYork,NY
37,NorthCarolina,NC
38,NorthDakota,ND
39,Ohio,OH
40,Oklahoma,OK
41,Oregon,OR
42,Pennsylvania,PA
44,RhodeIsland,RI
45,SouthCarolina,SC
46,SouthDakota,SD
47,Tennessee,TN
48,Texas,TX
49,Utah,UT
50,Vermont,VT
51,Virginia,VA
53,Washington,WA
54,WestVirginia,WV
55,Wisconsin,WI
56,Wyoming,WY
72,PuertoRico,PR
